num_of_player,num_of_decks,dealer_card,dealer_value,dealer_bust,init_hand,hit,result,outcome
2,3,3,25,1,21,0,1.0,0
2,3,2,22,1,11,1,1.0,1
2,3,8,22,1,12,0,1.0,0
2,3,7,21,0,12,0,-1.0,1
2,3,9,19,0,6,0,-1.0,1
2,3,2,22,1,13,0,1.0,0
2,3,2,22,1,12,0,1.0,0
2,3,3,26,1,19,0,1.0,0
2,3,6,19,0,7,0,-1.0,1
2,3,K,25,1,17,0,1.0,0
2,3,J,20,0,21,0,1.0,0
2,3,J,22,1,11,1,1.0,1
2,3,10,18,0,18,0,0.0,0
2,3,5,21,0,12,0,-1.0,1
2,3,9,19,0,16,0,-1.0,1
2,3,A,18,0,16,0,-1.0,1
2,3,5,22,1,21,0,1.0,0
2,3,5,21,0,15,0,-1.0,1
2,3,3,20,0,19,0,-1.0,1
2,3,5,19,0,19,0,0.0,0
2,3,7,18,0,12,0,-1.0,1
2,3,6,26,1,19,0,1.0,0
2,3,3,20,0,21,0,1.0,0
2,3,2,23,1,20,0,1.0,0
2,3,8,17,0,20,0,1.0,0
2,3,8,18,0,19,0,1.0,0
2,3,6,24,1,20,0,1.0,0
2,3,4,20,0,21,0,1.0,0
2,3,7,17,0,12,0,-1.0,1
2,3,9,19,0,15,0,-1.0,1
2,3,6,26,1,8,1,1.0,1
2,3,8,17,0,16,0,-1.0,1
2,3,Q,17,0,19,0,1.0,0
2,3,Q,18,0,16,0,-1.0,1
2,3,3,22,1,11,0,1.0,0
2,3,2,22,1,13,0,1.0,0
2,3,K,20,0,21,0,1.0,0
2,3,5,25,1,20,0,1.0,0
2,3,A,21,0,19,0,-1.0,1
2,3,Q,20,0,13,0,-1.0,1
2,3,3,24,1,8,0,1.0,0
2,3,3,22,1,19,0,1.0,0
2,3,10,22,1,12,0,1.0,0
2,3,4,24,1,15,0,1.0,0
2,3,Q,19,0,18,0,-1.0,1
2,3,K,21,0,7,0,-1.0,1
2,3,5,23,1,17,0,1.0,0
2,3,9,22,1,20,0,1.0,0
2,3,2,20,0,16,0,-1.0,1
2,3,6,20,0,15,0,-1.0,1
2,3,6,22,1,21,0,1.0,0
2,3,A,21,0,18,0,-1.0,1
2,3,5,19,0,18,0,-1.0,1
2,3,Q,20,0,12,0,-1.0,1
2,3,10,24,1,4,0,1.0,0
2,3,7,18,0,12,0,-1.0,1
2,3,K,23,1,17,0,1.0,0
2,3,Q,19,0,12,0,-1.0,1
2,3,4,17,0,7,1,-1.0,0
2,3,Q,25,1,17,0,1.0,0
