,dealer_card,dealer_value,dealer_bust,init_hand,hit,result,outcome
0,4,21,0,13,0,-1.0,1
1,K,20,0,13,0,-1.0,1
2,7,21,0,21,0,0.0,0
3,4,23,1,6,1,1.0,1
4,8,25,1,17,0,1.0,0
5,A,18,0,14,0,-1.0,1
6,5,23,1,9,0,1.0,0
7,A,20,0,10,0,-1.0,1
8,2,25,1,12,0,1.0,0
9,8,21,0,8,0,-1.0,1
10,8,20,0,5,1,-1.0,0
11,6,22,1,21,0,1.0,0
12,4,19,0,17,0,-1.0,1
13,9,19,0,15,0,-1.0,1
14,7,25,1,13,0,1.0,0
15,J,18,0,18,0,0.0,0
16,10,17,0,15,0,-1.0,1
17,10,24,1,18,0,1.0,0
18,K,20,0,17,0,-1.0,1
19,2,22,1,18,0,1.0,0
20,J,20,0,6,0,-1.0,1
21,Q,25,1,12,0,1.0,0
22,10,18,0,14,0,-1.0,1
23,6,22,1,17,0,1.0,0
24,10,19,0,15,0,-1.0,1
25,3,22,1,12,0,1.0,0
26,4,19,0,13,0,-1.0,1
27,J,25,1,15,0,1.0,0
28,J,26,1,15,0,1.0,0
29,J,18,0,12,0,-1.0,1
30,10,20,0,20,0,0.0,0
31,K,24,1,15,0,1.0,0
32,J,20,0,10,1,0.0,1
33,5,17,0,7,1,1.0,1
34,3,26,1,9,1,1.0,1
35,K,20,0,13,0,-1.0,1
36,A,19,0,12,0,-1.0,1
37,5,17,0,13,0,-1.0,1
38,A,25,1,12,0,1.0,0
39,2,21,0,13,0,-1.0,1
40,Q,18,0,18,0,0.0,0
41,5,19,0,12,0,-1.0,1
42,7,19,0,18,0,-1.0,1
43,K,20,0,8,1,-1.0,0
44,A,20,0,15,0,-1.0,1
45,9,18,0,15,0,-1.0,1
46,10,20,0,11,0,-1.0,1
47,9,26,1,10,1,1.0,1
48,10,19,0,20,0,1.0,0
49,5,21,0,18,0,-1.0,1
50,Q,20,0,20,0,0.0,0
51,6,25,1,10,1,1.0,1
52,K,19,0,15,0,-1.0,1
53,5,25,1,21,0,1.0,0
54,Q,18,0,15,0,-1.0,1
55,10,23,1,9,1,1.0,1
56,A,20,0,12,0,-1.0,1
57,K,19,0,6,0,-1.0,1
58,4,21,0,18,0,-1.0,1
59,3,17,0,15,0,-1.0,1
60,7,17,0,19,0,1.0,0
61,K,25,1,19,0,1.0,0
62,6,23,1,9,0,1.0,0
63,2,22,1,15,0,1.0,0
64,2,19,0,13,0,-1.0,1
65,8,18,0,20,0,1.0,0
66,A,21,0,11,0,-1.0,1
67,4,24,1,14,0,1.0,0
68,7,26,1,15,0,1.0,0
69,10,19,0,16,0,-1.0,1
70,9,18,0,16,0,-1.0,1
71,J,17,0,11,0,-1.0,1
72,2,20,0,12,0,-1.0,1
73,5,22,1,13,0,1.0,0
74,4,24,1,13,0,1.0,0
75,10,20,0,12,0,-1.0,1
76,Q,18,0,15,0,-1.0,1
77,J,23,1,20,0,1.0,0
78,5,20,0,12,0,-1.0,1
79,A,21,0,14,0,-1.0,1
80,K,20,0,16,0,-1.0,1
81,6,18,0,16,0,-1.0,1
82,4,26,1,16,0,1.0,0
83,10,18,0,14,0,-1.0,1
84,9,20,0,6,1,-1.0,0
85,Q,17,0,21,0,1.0,0
86,5,22,1,15,0,1.0,0
87,J,20,0,11,0,-1.0,1
88,J,20,0,13,0,-1.0,1
89,J,25,1,20,0,1.0,0
90,9,20,0,17,0,-1.0,1
91,2,22,1,17,0,1.0,0
92,8,18,0,14,0,-1.0,1
93,2,22,1,19,0,1.0,0
94,8,19,0,12,0,-1.0,1
95,3,17,0,17,0,0.0,0
96,A,20,0,21,0,1.0,0
97,K,19,0,17,0,-1.0,1
98,K,17,0,12,0,-1.0,1
99,A,18,0,18,0,0.0,0
100,10,17,0,13,0,-1.0,1
101,6,20,0,20,0,0.0,0
102,7,17,0,15,0,-1.0,1
103,8,17,0,10,1,1.0,1
104,5,20,0,5,1,-1.0,0
105,5,22,1,10,1,1.0,1
106,5,25,1,20,0,1.0,0
107,4,23,1,14,0,1.0,0
108,10,22,1,21,0,1.0,0
109,2,20,0,6,1,-1.0,0
110,8,17,0,14,0,-1.0,1
111,6,20,0,17,0,-1.0,1
112,6,23,1,16,0,1.0,0
113,6,21,0,17,0,-1.0,1
114,5,22,1,17,0,1.0,0
115,10,23,1,21,0,1.0,0
116,8,18,0,4,1,-1.0,0
117,2,18,0,12,0,-1.0,1
118,9,18,0,15,0,-1.0,1
119,7,17,0,17,0,0.0,0
120,K,17,0,14,0,-1.0,1
121,3,23,1,14,0,1.0,0
122,A,19,0,19,0,0.0,0
123,A,18,0,15,0,-1.0,1
124,8,20,0,15,0,-1.0,1
125,9,23,1,14,0,1.0,0
126,Q,24,1,9,0,1.0,0
127,6,22,1,12,0,1.0,0
128,A,18,0,17,0,-1.0,1
129,5,20,0,18,0,-1.0,1
130,3,23,1,21,0,1.0,0
131,Q,17,0,21,0,1.0,0
132,8,18,0,13,0,-1.0,1
133,A,21,0,7,0,-1.0,1
134,5,20,0,13,0,-1.0,1
135,K,18,0,15,0,-1.0,1
136,A,21,0,13,0,-1.0,1
137,K,20,0,21,0,1.0,0
138,J,18,0,13,0,-1.0,1
139,7,18,0,12,0,-1.0,1
140,10,20,0,14,0,-1.0,1
141,2,17,0,5,0,-1.0,1
142,2,20,0,21,0,1.0,0
143,8,18,0,5,1,-1.0,0
144,J,17,0,8,0,-1.0,1
145,9,21,0,12,0,-1.0,1
146,9,17,0,16,0,-1.0,1
147,J,18,0,16,0,-1.0,1
148,K,24,1,15,0,1.0,0
149,Q,20,0,16,0,-1.0,1
150,5,23,1,14,0,1.0,0
151,2,20,0,7,0,-1.0,1
152,K,21,0,15,0,-1.0,1
153,4,24,1,14,0,1.0,0
154,A,21,0,19,0,-1.0,1
155,3,19,0,17,0,-1.0,1
156,7,17,0,20,0,1.0,0
157,9,23,1,15,0,1.0,0
158,6,23,1,13,0,1.0,0
159,2,18,0,20,0,1.0,0
160,3,17,0,16,0,-1.0,1
161,9,20,0,17,0,-1.0,1
162,10,22,1,11,0,1.0,0
163,5,25,1,20,0,1.0,0
164,5,25,1,17,0,1.0,0
165,10,20,0,20,0,0.0,0
166,A,21,0,9,0,-1.0,1
167,9,19,0,21,0,1.0,0
168,7,22,1,21,0,1.0,0
169,J,19,0,12,0,-1.0,1
170,K,22,1,12,0,1.0,0
171,8,18,0,20,0,1.0,0
172,9,23,1,14,0,1.0,0
173,2,17,0,18,0,1.0,0
174,J,21,0,16,0,-1.0,1
175,A,24,1,13,0,1.0,0
176,7,17,0,12,0,-1.0,1
177,3,19,0,17,0,-1.0,1
178,7,21,0,12,0,-1.0,1
179,5,23,1,12,0,1.0,0
180,5,21,0,15,0,-1.0,1
181,8,23,1,12,0,1.0,0
182,10,17,0,17,0,0.0,0
183,9,17,0,14,0,-1.0,1
184,2,18,0,20,0,1.0,0
185,4,25,1,16,0,1.0,0
186,2,17,0,14,0,-1.0,1
187,9,20,0,19,0,-1.0,1
